generation #, # alive cells, # dead cells, BORN, KILLED 
732,14,242,4,4
733,14,242,4,4
734,14,242,4,4
735,14,242,4,4
736,14,242,4,4
737,14,242,4,4
738,14,242,4,4
739,14,242,4,4
740,14,242,4,4
741,14,242,4,4
742,14,242,4,4
743,14,242,4,4
744,14,242,4,4
745,14,242,4,4
746,14,242,4,4
747,14,242,4,4
748,14,242,4,4
749,14,242,4,4
750,14,242,4,4
751,14,242,4,4
752,14,242,4,4
753,14,242,4,4
754,14,242,4,4
755,14,242,4,4
756,14,242,4,4
757,14,242,4,4
758,14,242,4,4
759,14,242,4,4
760,14,242,4,4
761,14,242,4,4
762,14,242,4,4
763,14,242,4,4
764,14,242,4,4
765,14,242,4,4
766,14,242,4,4
767,14,242,4,4
768,14,242,4,4
769,14,242,4,4
770,14,242,4,4
771,14,242,4,4
772,14,242,4,4
773,14,242,4,4
774,14,242,4,4
775,14,242,4,4
776,14,242,4,4
777,14,242,4,4
778,14,242,4,4
779,14,242,4,4
780,14,242,4,4
781,14,242,4,4
782,14,242,4,4
783,14,242,4,4
784,14,242,4,4
785,14,242,4,4
786,14,242,4,4
787,14,242,4,4
788,14,242,4,4
789,14,242,4,4
790,14,242,4,4
791,14,242,4,4
792,14,242,4,4
793,14,242,4,4
794,14,242,4,4
795,14,242,4,4
796,14,242,4,4
797,14,242,4,4
798,14,242,4,4
799,14,242,4,4
800,14,242,4,4
801,14,242,4,4
802,14,242,4,4
803,14,242,4,4
804,14,242,4,4
805,14,242,4,4
806,14,242,4,4
807,14,242,4,4
808,14,242,4,4
809,14,242,4,4
810,14,242,4,4
811,14,242,4,4
812,14,242,4,4
813,14,242,4,4
814,14,242,4,4
815,14,242,4,4
816,14,242,4,4
817,14,242,4,4
818,14,242,4,4
819,14,242,4,4
820,14,242,4,4
821,14,242,4,4
822,14,242,4,4
823,14,242,4,4
824,14,242,4,4
825,14,242,4,4
826,14,242,4,4
827,14,242,4,4
828,14,242,4,4
829,14,242,4,4
830,14,242,4,4
831,14,242,4,4
832,14,242,4,4
833,14,242,4,4
834,14,242,4,4
835,14,242,4,4
836,14,242,4,4
837,14,242,4,4
838,14,242,4,4
839,14,242,4,4
840,14,242,4,4
841,14,242,4,4
842,14,242,4,4
843,14,242,4,4
844,14,242,4,4
845,14,242,4,4
846,14,242,4,4
847,14,242,4,4
848,14,242,4,4
849,14,242,4,4
850,14,242,4,4
851,14,242,4,4
852,14,242,4,4
853,14,242,4,4
854,14,242,4,4
855,14,242,4,4
856,14,242,4,4
857,14,242,4,4
858,14,242,4,4
859,14,242,4,4
860,14,242,4,4
861,14,242,4,4
862,14,242,4,4
863,14,242,4,4
864,14,242,4,4
865,14,242,4,4
866,14,242,4,4
867,14,242,4,4
868,14,242,4,4
869,14,242,4,4
870,14,242,4,4
871,14,242,4,4
872,14,242,4,4
873,14,242,4,4
874,14,242,4,4
875,14,242,4,4
876,14,242,4,4
877,14,242,4,4
878,14,242,4,4
879,14,242,4,4
880,14,242,4,4
881,14,242,4,4
882,14,242,4,4
883,14,242,4,4
884,14,242,4,4
885,14,242,4,4
886,14,242,4,4
887,14,242,4,4
888,14,242,4,4
889,14,242,4,4
890,14,242,4,4
891,14,242,4,4
892,14,242,4,4
893,14,242,4,4
894,14,242,4,4
895,14,242,4,4
896,14,242,4,4
897,14,242,4,4
898,14,242,4,4
899,14,242,4,4
900,14,242,4,4
901,14,242,4,4
902,14,242,4,4
903,14,242,4,4
904,14,242,4,4
905,14,242,4,4
906,14,242,4,4
907,14,242,4,4
908,14,242,4,4
909,14,242,4,4
910,14,242,4,4
911,14,242,4,4
912,14,242,4,4
913,14,242,4,4
914,14,242,4,4
915,14,242,4,4
916,14,242,4,4
917,14,242,4,4
918,14,242,4,4
919,14,242,4,4
920,14,242,4,4
921,14,242,4,4
922,14,242,4,4
923,14,242,4,4
924,14,242,4,4
925,14,242,4,4
926,14,242,4,4
927,14,242,4,4
928,14,242,4,4
929,14,242,4,4
930,14,242,4,4
931,14,242,4,4
932,14,242,4,4
933,14,242,4,4
934,14,242,4,4
935,14,242,4,4
936,14,242,4,4
937,14,242,4,4
938,14,242,4,4
939,14,242,4,4
940,14,242,4,4
941,14,242,4,4
942,14,242,4,4
943,14,242,4,4
944,14,242,4,4
945,14,242,4,4
946,14,242,4,4
947,14,242,4,4
948,14,242,4,4
949,14,242,4,4
950,14,242,4,4
951,14,242,4,4
952,14,242,4,4
953,14,242,4,4
954,14,242,4,4
955,14,242,4,4
956,14,242,4,4
957,14,242,4,4
958,14,242,4,4
959,14,242,4,4
960,14,242,4,4
961,14,242,4,4
962,14,242,4,4
963,14,242,4,4
964,14,242,4,4
965,14,242,4,4
966,14,242,4,4
967,14,242,4,4
968,14,242,4,4
969,14,242,4,4
970,14,242,4,4
971,14,242,4,4
972,14,242,4,4
